date,close,volume,open,high,low,stock_name
2016-02-16,691.0,2136824.0,692.98,698.0,685.05,Google
2016-02-17,708.4,1835411.0,699.0,709.75,691.38,Google
2016-02-18,697.35,1287855.0,710.0,712.35,696.03,Google
2016-02-19,700.91,1134665.0,695.03,703.081,694.05,Google
2016-02-22,706.46,1410613.0,707.45,713.24,702.51,Google
2016-02-23,695.85,1405180.0,701.45,708.4,693.58,Google
2016-02-24,699.56,1318221.0,688.92,700.0,680.78,Google
2016-02-25,705.75,1133274.0,700.01,705.98,690.585,Google
2016-02-26,705.07,2060942.0,708.58,713.43,700.86,Google
2016-02-29,697.77,1467267.0,700.32,710.89,697.68,Google
2016-03-01,718.81,1453825.0,703.62,718.81,699.77,Google
2016-03-02,718.85,1082731.0,719.0,720.0,712.0,Google
2016-03-03,712.42,1895828.0,718.68,719.45,706.02,Google
2016-03-04,710.89,1306306.0,714.99,716.49,706.02,Google
2016-03-07,695.16,2734897.0,706.9,708.091,686.9,Google
2016-03-08,693.97,1378967.0,688.59,703.79,685.34,Google
2016-03-09,705.24,1179552.0,698.47,705.68,694.0,Google
2016-03-10,712.82,2833525.0,708.12,716.44,703.36,Google
2016-03-11,726.82,1660799.0,720.0,726.92,717.125,Google
2016-03-14,730.49,1718252.0,726.81,735.5,725.15,Google
2016-03-15,728.33,1720965.0,726.92,732.29,724.77,Google
2016-03-16,736.09,1624370.0,726.37,737.47,724.51,Google
2016-03-17,737.78,1860834.0,736.45,743.07,736.0,Google
2016-03-18,737.6,2980709.0,741.86,742.0,731.83,Google
2016-03-21,742.09,1836503.0,736.5,742.5,733.516,Google
2016-03-22,740.75,1269749.0,737.46,745.0,737.46,Google
2016-03-23,738.06,1432099.0,742.36,745.72,736.15,Google
2016-03-24,735.3,1594891.0,732.01,737.747,731.0,Google
2016-03-28,733.53,917843.0,736.79,738.99,732.5,Google
2016-03-29,744.77,1352078.0,734.59,747.25,728.76,Google
2016-03-30,750.53,1238933.0,750.1,757.88,748.74,Google
2016-03-31,744.95,1130133.0,749.25,750.85,740.94,Google
2016-04-01,749.91,1098682.0,738.6,750.34,737.0,Google
2016-04-04,745.29,783665.0,750.06,752.8,742.43,Google
2016-04-05,737.8,970414.0,738.0,742.8,735.37,Google
2016-04-06,745.69,726844.0,735.77,746.24,735.56,Google
2016-04-07,740.28,1036311.0,745.37,747.0,736.28,Google
2016-04-08,739.15,1254527.0,743.97,745.45,735.55,Google
2016-04-11,736.1,818464.0,743.02,745.0,736.05,Google
2016-04-12,743.09,1141578.0,738.0,743.83,731.01,Google
2016-04-13,751.72,1202835.0,749.16,754.38,744.261,Google
2016-04-14,753.2,815417.0,754.01,757.31,752.705,Google
